,url,name,price,rating,reviews
23,/Backpack-Toddler-Animal-Cartoon-Red-Stawberry/dp/B089WFG3BK/ref=sxin_25_trfob_6_B089WFG3BK?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B089WFG3BK&pd_rd_r=be96cf48-68fb-4208-9f6e-ab993c023aa4&pd_rd_w=6UaEV&pd_rd_wg=6xF4I&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=T68JBF84TZH4A6R1PM02&qid=1675444582&sprefix=ba%2Caps%2C283&sr=1-7-cc7a04fe-cc55-42ad-b883-1b910070c86a,"Arctic Hunter Mens Small Sling Bag Chest Bag Shoulder Bag Mobile Bag Side Bag with Earphone Port Water Resistant for Everyday Use Small Items and Small Electronic Product,Black",399,4.0 out of 5 stars,(61)
24,/Blue-Tree-Synthetic-Cartton-Minnie/dp/B07CXXYQ5X/ref=sxin_25_trfob_7_B07CXXYQ5X?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B07CXXYQ5X&pd_rd_r=be96cf48-68fb-4208-9f6e-ab993c023aa4&pd_rd_w=6UaEV&pd_rd_wg=6xF4I&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=T68JBF84TZH4A6R1PM02&qid=1675444582&sprefix=ba%2Caps%2C283&sr=1-8-cc7a04fe-cc55-42ad-b883-1b910070c86a,"Arctic Hunter Laptop Bag,Casual Backpack 30L Large Capacity Laptop Bag with 15.6"" Laptop Pocket Water-resistant,Multi-pocket School Travel Business Bag with USB Charging Port for Men/Women,Black",539,4.0 out of 5 stars,(218)
25,/Martucci-Casual-Travelling-Laptop-Backpack/dp/B088B4P6ZW/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1675444582&sprefix=ba%2Caps%2C283&sr=8-14,Lavie Sport Chairman Director Business Laptop Bags | Premium Leatherette Business Backpacks for Men & Women | Durable Office Bag for Notebook/MacBook,579,4.0 out of 5 stars,(663)
26,/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B26VHXV/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1675444582&sprefix=ba%2Caps%2C283&sr=8-15,"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant)",288,4.0 out of 5 stars,"(6,991)"
27,/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1675444582&sprefix=ba%2Caps%2C283&sr=8-16,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)",288,3.9 out of 5 stars,"(2,191)"
28,/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1675444582&sprefix=ba%2Caps%2C283&sr=8-17,Half Moon 35 ltrs (33 cms)backpack(Navy Laptop Bags_navy blue),288,4.0 out of 5 stars,"(4,398)"
29,/Bennett-Mystic-Shoulder-Messenger-Repellent/dp/B08X2T2M8G/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1675444582&sprefix=ba%2Caps%2C283&sr=8-18,"Arctic Hunter Mens Small Sling Bag Chest Bag Shoulder Bag Mobile Bag Side Bag with Earphone Port Water Resistant for Everyday Use Small Items and Small Electronic Product,Black",565,4.0 out of 5 stars,"(5,549)"
30,/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1675444582&sprefix=ba%2Caps%2C283&sr=8-19,"INOVERA Faux Leather Women Handbags Shoulder Hobo Bag Purse With Long Strap, 32L x 13B x 30H cm",699,4.1 out of 5 stars,"(4,862)"
31,/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1675444582&sprefix=ba%2Caps%2C283&sr=8-20,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",349,4.0 out of 5 stars,"(8,992)"
32,/sspa/click?ie=UTF8&spc=MTo4MTQ0NTI2ODE0MzE2MTE0OjE2NzU0NDQ1ODI6c3BfYnRmOjIwMTA4NTk1NTk4MDk4OjowOjo&url=%2FLavie-Sport-Chairman-Compatible-compartments%2Fdp%2FB0B45SWK51%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675444582%26sprefix%3Dba%252Caps%252C283%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,Sfane polyester 23 cms Duffle Bag(BG - 05 HALF LTSHOE COMPTT_grey),499,4.3 out of 5 stars,"(9,233)"
